"","LPI_final","CI_low","CI_high"
"1950",1,1,1
"1951",1.35596292274754,1.35358864196815,1.35849616790797
"1952",1.84123867021109,1.83662769335267,1.8459106920148
"1953",2.50314931629214,2.49595791119621,2.51037035948995
"1954",3.40236592550986,3.39106400018017,3.41367853304001
"1955",4.6192704693385,4.60160634534594,4.63615125785081
"1956",6.26356592777916,6.23898751914615,6.28841625423501
"1957",8.48779084442372,8.45039090043938,8.5218753042885
"1958",11.4927375634348,11.4411254502764,11.5437765551777
"1959",15.5474791187259,15.4728281002987,15.6208018343821
"1960",21.0130540268945,20.9059623070249,21.1222110726453
"1961",28.3648308277184,28.2164461405294,28.5103014560998
"1962",38.2067168679914,38.0034834138155,38.4078575326334
"1963",51.2995545819675,50.995162271811,51.5771864893428
"1964",68.596549690433,68.179422731227,68.9796615819072
"1965",91.2289155176915,90.6861286874671,91.7464376910349
"1966",120.428648799723,119.708891501655,121.119175681528
"1967",157.379375081331,156.40728357281,158.313867670061
"1968",203.123760633079,201.869311755817,204.351958057762
"1969",258.457868334963,256.836753593027,260.087243214954
"1970",323.760107711665,321.68236035553,325.765364985026
"1971",398.843514934457,396.269180048312,401.336437164472
"1972",483.194708847449,480.103611263172,486.259369870636
"1973",576.188757742233,572.475700767576,579.882131365679
"1974",677.301671416255,672.852848471487,681.865780314073
"1975",785.937375215932,780.741108945357,791.333839362356
"1976",901.530088992291,895.396217365206,907.695100508814
"1977",1023.66923278685,1016.72044358353,1030.65609298961
"1978",1151.85204039226,1143.8482161217,1159.61865290794
"1979",1285.42724900577,1276.53687289905,1293.99186486647
"1980",1423.86914360311,1414.05891001252,1433.58966298303
"1981",1566.90067776038,1555.65825652765,1578.06244246625
"1982",1714.12922313134,1701.11437212478,1726.75786062998
"1983",1864.63808934501,1850.39143316576,1878.03853714913
"1984",2017.54863419668,2001.81973997823,2032.30412343122
"1985",2172.47757844465,2155.09224020528,2188.41069470362
"1986",2329.53945371561,2311.27609263296,2346.77609866604
"1987",2488.57998147915,2468.33946295593,2507.34705971375
"1988",2649.17080977509,2628.19673221159,2668.99041182842
"1989",2811.03729783499,2788.06877976659,2832.23997649144
"1990",2974.37499298909,2950.34492084082,2996.91025288297
"1991",3138.19192749884,3112.51647628054,3161.91027400151
"1992",3301.18806558615,3274.57341813363,3326.68633344528
"1993",3462.7069681231,3434.82550023183,3489.29831472151
"1994",3623.49767243166,3594.07345423684,3651.25157324742
"1995",3784.44558614647,3753.97237547833,3813.18648288793
"1996",3945.51022543034,3913.04010837388,3976.02387222263
"1997",4106.01137329046,4071.71566506593,4137.84761821309
"1998",4265.64955782687,4229.90398434509,4299.33050446216
"1999",4424.37562172408,4388.1362011814,4459.31997827449
"2000",4581.90906254577,4544.27798961919,4618.68166058954
"2001",4737.88643880928,4698.82270469368,4776.24135571643
"2002",4892.55326716184,4852.65324635906,4931.69890176266
"2003",5046.32037210831,5004.14431772029,5087.00050237604
"2004",5198.59019190841,5155.32901435078,5239.53946241883
"2005",5348.82545390519,5304.95958485205,5390.66250908978
"2006",5496.94948366582,5451.28495120811,5539.48270739175
"2007",5643.90452900464,5596.39179258492,5687.01847191101
"2008",5789.65330994733,5741.13352175724,5833.30620827256
"2009",5933.1218093102,5882.99385382898,5978.87588812663
"2010",6073.92596942759,6022.60306503428,6120.73956436484
"2011",6212.8167056956,6160.49189148717,6261.99411357266
"2012",6350.75812859903,6296.08359844955,6401.69029367974
"2013",6487.37508107499,6431.32225454332,6539.52699631226
"2014",6622.2843320234,6564.96448968523,6675.66619449057
"2015",6756.57660911454,6697.60544265914,6812.07427349603
"2016",6891.7775294785,6832.59197086052,6946.95868774712
"2017",7027.97426000851,6966.06627802003,7085.00902462006
"2018",7164.42903705324,7101.11892072512,7221.99653196544
"2019",7301.42811108086,7237.30461588695,7360.80464936318
"2020",7301.42811108086,7237.30461588695,7360.80464936318
"2021",7301.42811108086,7237.30461588695,7360.80464936318
